"#","Product Name","Product Name En","Markets","Date","Farmgate Price","Wholesale Price","Retail Price","Province","District"
"137","Igitoki","Igitoki","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","220","280","300","",""
"138","Ibishyimbo Ibinyarwanda","Ibishyimbo Ibinyarwanda","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","750","850","900","",""
"139","Ibishyimbo Shyushya","Ibishyimbo Shyushya","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","800","950","1000","",""
"140","Ibishyimbo - Mushingiriro","Ibishyimbo - Mushingiriro","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","800","950","1000","",""
"141","Umuceri - RW - Kigori","Umuceri - RW - Kigori","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","800","1100","1200","",""
"142","Inyanya","Inyanya","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","800","1100","1200","",""
"143","Ifu-ingano","Ifu-ingano","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","1200","1400","1500","",""
"144","Ibinyomoro","Ibinyomoro","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","1000","1300","1500","",""
"145","Ibigori","Ibigori","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","470","580","600","",""
"146","Amavuta ubuto","Amavuta ubuto","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","2700","3000","3100","",""
"147","Isukari","Isukari","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","1100","1400","1500","",""
"148","Umuceli-Tz","Umuceli-Tz","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","1550","1900","2000","",""
"149","Umuceri - Tz No 2","Umuceri - Tz No 2","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","1300","1600","1700","",""
"150","Ifu-amasaka","Ifu-amasaka","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","1000","1200","1300","",""
"151","Ingano","Ingano","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","1000","1200","1300","",""
"152","Umuceri Pakistani","Umuceri Pakistani","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","900","1200","1300","",""
"153","Gaz","Gaz","kibungo","Mon Jun 22 2026 08:30:48 GMT+0200 (South Africa Standard Time)","1800","2200","2300","",""
